wage,exper,age
9,27,43
5.5,20,38
3.8,4,22
10.5,29,47
15,40,58
9,27,49
9.57,5,23
15,22,42
11,42,56
5,14,32
24.98,18,41
20.4,3,26
25,4,24
13.98,14,34
3.5,35,53
5,0,20
10,7,29
15,26,48
5.83,3,22
9.1,16,35
11.25,32,55
13,25,43
8,15,35
4.28,38,56
7.88,17,39
6.94,7,25
24.98,5,28
10,22,42
13.75,21,41
5.62,2,21
14.67,16,36
24.98,18,40
12,14,32
15,12,36
5.77,3,25
12.65,13,36
11.71,42,64
13,8,26
12.5,6,27
22.5,22,44
11.25,3,25
15.38,33,55
7.7,8,27
11.84,26,44
5,0,20
6.5,28,46
9,33,47
3.35,0,18
4.5,7,25
10.53,12,32
3.5,47,62
15,12,34
8.5,25,43
9.17,44,62
9.6,33,48
6.88,22,36
13.95,14,38
10,22,42
3.75,41,59
8,8,26
11.67,43,61
8.89,29,43
4,6,24
5.5,21,39
3.35,3,25
10.81,40,58
7,5,23
10,34,53
5.4,10,32
7.5,10,28
11.25,41,59
10,25,41
4,0,19
13.51,14,38
6.75,22,40
14.29,32,52
9.75,9,30
3.35,0,18
3.4,49,63
5.62,32,52
7,7,25
10,10,32
6.1,44,60
4.17,27,45
4.8,16,34
5.75,3,21
4.75,8,26
9.37,7,30
5.25,8,26
4.95,42,57
19.38,11,33
19.98,23,41
4,4,22
5,0,18
10.58,25,45
10,22,40
7.38,15,35
12.5,10,31
4,20,42
15.03,24,42
16,12,30
3.56,12,30
4.5,16,34
4.55,4,22
3.6,43,61
8,14,32
4.75,10,28
6.73,2,20
11.11,28,46
6,15,28
10,20,38
11.25,30,48
3.95,9,27
17.5,13,35
3.55,1,20
6,8,30
22,15,35
6.25,6,24
4.5,14,27
10.32,28,47
12.2,10,30
18.16,14,37
15,10,32
8.75,10,29
19.98,44,64
6.67,10,32
9.63,22,42
5.5,18,35
8,9,27
20,19,43
9.5,14,37
11.79,6,28
13.89,17,39
5.5,24,41
7,12,29
9.65,38,56
10.61,33,54
3.75,16,24
12,10,30
8.56,14,34
16.14,16,36
3.75,11,28
9,6,28
13.12,33,51
13.2,10,32
9.25,19,37
5,4,22
6,3,26
7,32,50
4.7,19,33
7.5,22,44
7,33,57
11.22,19,43
5.71,3,27
5.5,12,30
9,16,34
4.13,4,22
10,11,29
7.5,17,35
3.65,16,33
8.89,18,36
18,15,39
3.35,0,20
13.45,8,30
22.5,17,39
19,13,37
8.93,18,36
7,16,33
4.17,24,44
9.83,23,41
6.67,1,19
7,10,28
3.64,42,60
22.83,37,61
5,14,32
22.5,14,38
12,11,29
6.28,38,56
4.5,3,21
6,9,27
6.75,13,29
8.75,9,27
13.28,11,33
6.25,30,49
8.99,15,33
7.5,2,22
12,24,47
14,31,55
16.42,19,39
6.25,2,22
10.5,4,22
9.5,46,61
3,43,55
9.22,13,33
4,15,33
3.8,16,34
6,19,37
5,28,46
15,42,60
5.55,45,62
9,7,29
24.98,31,54
8.49,24,42
5,17,37
22.2,26,44
9.24,5,27
8,17,39
3.5,33,49
3.35,2,21
3.35,14,36
20,28,50
4,46,64
18,38,60
4.5,0,19
7.81,1,19
1.75,5,23
5.2,13,37
8.75,19,35
5,5,23
3.75,6,24
5.95,9,28
4,7,25
7,55,64
5,1,24
4.62,33,45
5.75,21,39
24.98,29,53
15.79,7,31
15.56,10,32
3.35,9,31
18.16,7,31
8,33,57
6,31,50
17.25,5,29
5.5,2,24
7.65,20,38
6.25,4,26
6.4,45,63
6.58,24,42
12.5,43,61
13.33,10,34
5.5,3,21
11.25,5,26
10.62,45,63
8,43,61
10.2,26,49
5.79,42,60
7.3,37,55
44.5,1,21
10.5,14,33
9.36,8,26
5.2,24,42
4.25,20,38
15.95,13,36
22.5,12,33
5,4,26
5.3,14,32
6.25,14,38
10,13,37
5.5,20,38
6.8,30,45
3,28,46
10,14,36
4.85,13,29
9.42,32,50
6,26,47
4.25,0,19
11.02,12,32
12.16,32,50
8.43,12,30
11.43,3,21
19.98,29,44
6.88,10,30
5.71,16,34
3.35,8,26
4.85,16,31
5.75,15,33
5.4,18,36
13.16,38,56
11.32,13,31
8.75,18,37
12.22,19,37
5.25,15,31
5.56,5,25
4.59,36,54
7.5,38,56
12,5,23
16,35,53
3.35,3,20
4.45,27,43
4.25,29,47
13.1,38,54
7,9,25
5.75,45,57
6.5,27,41
7.61,20,38
20.5,14,36
6.25,1,19
3.84,25,42
16.65,21,41
11.25,10,33
5.65,2,22
6.5,17,34
7.75,24,42
6.93,26,44
15,39,57
7,42,55
3.35,43,56
6.5,5,23
6.25,7,29
5,6,25
3.45,1,20
8.8,41,61
10,4,26
4,25,42
9.5,39,57
10.43,15,35
5.21,10,34
7.5,20,38
7,2,25
10.78,28,45
8.9,27,43
3.75,13,35
3.75,4,25
9.45,13,31
15,33,51
3.6,6,24
12,23,47
10.62,6,28
14,16,38
5,3,25
11.5,19,37
13.71,43,61
10.62,34,52
7.45,25,43
6.75,41,57
5.87,6,29
3.43,2,20
4.35,37,51
13,19,37
14,44,55
3.51,37,53
4.3,8,27
5.85,12,36
6,8,26
11,13,35
21.25,32,51
14.53,18,40
6.85,8,26
10,0,18
10,7,29
24.98,5,27
3.75,17,35
6.5,39,56
5,4,22
4.55,45,59
6.5,8,26
10.58,9,31
9.56,23,41
12,14,36
8.5,16,34
4.1,15,33
4.5,15,33
11.5,16,38
8.9,13,33
14.21,15,32
13.65,11,33
22.2,40,64
15,11,35
8.06,17,36
6.75,12,30
4.5,14,31
7,26,44
7.5,27,45
7.5,16,34
8.5,2,20
8,44,57
3.5,8,22
12.5,9,27
6,1,19
5.25,2,24
5,6,24
3.5,17,34
11,14,34
7.5,3,21
8.5,13,31
12.5,11,29
10.75,24,42
12.5,14,32
7.8,7,30
12,13,36
3.35,10,28
19.88,13,31
6,7,26
4.22,39,53
3.5,6,26
12,20,38
3.35,7,25
9,20,38
3.98,6,26
5,39,57
12.67,15,37
17.25,31,52
9.5,25,43
14,13,30
8.5,8,26
4.25,2,20
5.8,14,36
11.25,14,33
12,18,42
11.25,28,46
7.5,10,32
8.2,17,37
4.85,14,32
4.75,2,20
5.5,29,51
9.5,29,46
9.6,14,32
4.55,33,52
15.73,4,26
9.86,13,34
10,24,44
5.8,5,24
7.53,1,21
9.75,37,54
13,18,35
10.28,10,31
13.45,16,34
12.57,12,30
8.63,4,24
13.26,16,34
6.85,34,54
12.47,10,29
7.14,17,37
12.5,16,35
10,20,36
10,12,28
8.75,30,48
9.37,26,48
11.11,13,32
5.1,21,35
7.5,3,20
3.4,29,43
4.5,3,21
6.25,27,51
20.55,33,51
8.4,17,36
8,15,33
8.5,38,53
3.75,9,27
9,10,28
12.05,6,28
4.5,7,25
4.8,16,31
6.5,30,46
7.69,19,37
9.33,15,33
5,12,30
6.1,33,51
10.67,36,54
3.5,25,43
10,35,53
9,8,27
7.5,23,41
5.71,7,31
8.5,3,26
4,8,26
5.75,34,49
5.25,2,20
3.5,34,52
4.5,2,19
5.5,11,29
6.25,4,23
8.89,22,44
5.25,45,63
10.25,26,46
6.25,12,32
4.35,3,21
17.86,36,55
7.5,9,27
6.25,7,29
4.5,14,34
6.4,6,24
4.84,1,22
4.15,4,21
5.13,5,23
5.26,38,52
7.78,6,28
13.07,9,28
8,15,34
7.67,11,32
7.5,17,35
2.85,1,19
6.36,9,27
3.5,48,63
11.35,17,35
5.5,33,51
9.15,7,25
7.96,12,32
5.65,6,28
6,54,64
13.45,16,38
3.65,8,25
6.25,30,45
5.15,1,20
26.29,32,55
2.01,0,19
5,26,44
8.75,36,53
12.5,19,39
4,12,30
4.5,21,43
6.5,11,29
5.5,10,28
6.88,15,38
6.15,16,38
7.78,23,41
1,24,42
12.5,13,36
8.85,19,39
4.35,20,37
11.36,5,29
8.93,47,61
3.5,33,50
26,21,41
8,19,37
16,20,40
5.35,13,31
23.25,25,48
8.63,18,36
18.5,13,33
22.2,8,32
16.26,14,32
19.47,9,27
