wage,educ,married,exper,age
9,10,Married,27,43
5.5,12,Married,20,38
3.8,12,Single,4,22
10.5,12,Married,29,47
15,12,Married,40,58
9,16,Married,27,49
9.57,12,Married,5,23
15,14,Single,22,42
11,8,Married,42,56
5,12,Married,14,32
24.98,17,Married,18,41
20.4,17,Single,3,26
25,14,Single,4,24
13.98,14,Single,14,34
3.5,12,Married,35,53
5,14,Single,0,20
10,16,Married,7,29
15,16,Married,26,48
5.83,13,Single,3,22
9.1,13,Single,16,35
11.25,17,Married,32,55
13,12,Married,25,43
8,14,Single,15,35
4.28,12,Married,38,56
7.88,16,Married,17,39
6.94,12,Single,7,25
24.98,17,Single,5,28
10,14,Married,22,42
13.75,14,Married,21,41
5.62,13,Married,2,21
14.67,14,Married,16,36
24.98,16,Married,18,40
12,12,Married,14,32
15,18,Married,12,36
5.77,16,Single,3,25
12.65,17,Married,13,36
11.71,16,Single,42,64
13,12,Married,8,26
12.5,15,Married,6,27
22.5,16,Married,22,44
11.25,16,Single,3,25
15.38,16,Married,33,55
7.7,13,Single,8,27
11.84,12,Married,26,44
5,14,Married,0,20
6.5,12,Married,28,46
9,8,Married,33,47
3.35,12,Single,0,18
4.5,12,Married,7,25
10.53,14,Married,12,32
3.5,9,Married,47,62
15,16,Married,12,34
8.5,12,Single,25,43
9.17,12,Married,44,62
9.6,9,Single,33,48
6.88,8,Married,22,36
13.95,18,Married,14,38
10,14,Single,22,42
3.75,12,Single,41,59
8,12,Single,8,26
11.67,12,Married,43,61
8.89,8,Single,29,43
4,12,Single,6,24
5.5,12,Single,21,39
3.35,16,Single,3,25
10.81,12,Married,40,58
7,12,Married,5,23
10,13,Married,34,53
5.4,16,Married,10,32
7.5,12,Single,10,28
11.25,12,Married,41,59
10,10,Married,25,41
4,13,Single,0,19
13.51,18,Married,14,38
6.75,12,Single,22,40
14.29,14,Married,32,52
9.75,15,Married,9,30
3.35,12,Single,0,18
3.4,8,Single,49,63
5.62,14,Married,32,52
7,12,Married,7,25
10,16,Married,10,32
6.1,10,Single,44,60
4.17,12,Married,27,45
4.8,12,Married,16,34
5.75,12,Married,3,21
4.75,12,Married,8,26
9.37,17,Married,7,30
5.25,12,Single,8,26
4.95,9,Married,42,57
19.38,16,Married,11,33
19.98,12,Married,23,41
4,12,Single,4,22
5,12,Single,0,18
10.58,14,Married,25,45
10,12,Single,22,40
7.38,14,Single,15,35
12.5,15,Single,10,31
4,16,Single,20,42
15.03,12,Married,24,42
16,12,Married,12,30
3.56,12,Single,12,30
4.5,12,Single,16,34
4.55,12,Single,4,22
3.6,12,Married,43,61
8,12,Married,14,32
4.75,12,Single,10,28
6.73,12,Married,2,20
11.11,12,Married,28,46
6,7,Married,15,28
10,12,Married,20,38
11.25,12,Married,30,48
3.95,12,Married,9,27
17.5,16,Married,13,35
3.55,13,Single,1,20
6,16,Single,8,30
22,14,Married,15,35
6.25,12,Single,6,24
4.5,7,Married,14,27
10.32,13,Single,28,47
12.2,14,Married,10,30
18.16,17,Single,14,37
15,16,Married,10,32
8.75,13,Married,10,29
19.98,14,Married,44,64
6.67,16,Single,10,32
9.63,14,Married,22,42
5.5,11,Married,18,35
8,12,Single,9,27
20,18,Married,19,43
9.5,17,Married,14,37
11.79,16,Single,6,28
13.89,16,Single,17,39
5.5,11,Married,24,41
7,11,Single,12,29
9.65,12,Married,38,56
10.61,15,Single,33,54
3.75,2,Single,16,24
12,14,Married,10,30
8.56,14,Married,14,34
16.14,14,Single,16,36
3.75,11,Single,11,28
9,16,Married,6,28
13.12,12,Married,33,51
13.2,16,Single,10,32
9.25,12,Single,19,37
5,12,Single,4,22
6,17,Single,3,26
7,12,Married,32,50
4.7,8,Married,19,33
7.5,16,Married,22,44
7,18,Married,33,57
11.22,18,Married,19,43
5.71,18,Married,3,27
5.5,12,Married,12,30
9,12,Married,16,34
4.13,12,Married,4,22
10,12,Married,11,29
7.5,12,Married,17,35
3.65,11,Single,16,33
8.89,12,Married,18,36
18,18,Married,15,39
3.35,14,Single,0,20
13.45,16,Single,8,30
22.5,16,Married,17,39
19,18,Single,13,37
8.93,12,Married,18,36
7,11,Married,16,33
4.17,14,Single,24,44
9.83,12,Married,23,41
6.67,12,Single,1,19
7,12,Married,10,28
3.64,12,Married,42,60
22.83,18,Single,37,61
5,12,Married,14,32
22.5,18,Married,14,38
12,12,Married,11,29
6.28,12,Married,38,56
